"milestone_id","milestone_name","order","ticket_id","owner","target_profile","subsystem","depends_on","title","done_when"
"M2","Contention-family foundation","26","NES-003","famicom_nes_family","NES front-loader NTSC","video","NES-002;RT-004","PPU baseline to frame sink","Background and sprite output, VBlank timing, and framebuffer capture work through the common video path."
"M2","Contention-family foundation","27","NES-004","famicom_nes_family","NES front-loader NTSC","audio_and_input","NES-002;RT-005;RT-006","APU and controller path","Baseline APU channels and controller polling reach the shared support sinks."
"M2","Contention-family foundation","28","NES-005","famicom_nes_family","NES front-loader NTSC","cartridge_and_validation","NES-003;NES-004;RT-008","Mapper and validation pass","The wave-1 mapper set passes a shared regression harness and no generic cross-system mapper API has leaked into the architecture."
"M3","Stress timing and beam systems","29","C64-001","commodore_64_128_family","C64 PAL breadbin","identity_and_media","RT-001;RT-003","C64 PAL profile and media path","A PAL C64 profile loads cartridge and one practical program-loading path through the shared media-loading support."
"M3","Stress timing and beam systems","30","C64-002","commodore_64_128_family","C64 PAL breadbin","cpu_and_io","C64-001;RT-002","6510, banking, CIA baseline","CPU execution, banking, timers, and keyboard or joystick-visible CIA behavior exist."
"M3","Stress timing and beam systems","31","C64-003","commodore_64_128_family","C64 PAL breadbin","video","C64-002;RT-004","VIC-II badlines, raster IRQs, and frame output","Badlines, raster IRQ timing, and visible output all operate through the shared video contract."
"M3","Stress timing and beam systems","32","C64-004","commodore_64_128_family","C64 PAL breadbin","audio_and_input","C64-002;RT-005;RT-006","SID and input","SID output and keyboard or joystick input reach the shared sinks without family-specific frontend hacks."
"M3","Stress timing and beam systems","33","C64-005","commodore_64_128_family","C64 PAL breadbin","validation","C64-003;C64-004;RT-008","Validation pass","A first raster- and timing-sensitive regression set passes under the shared harness."
"M3","Stress timing and beam systems","34","A26-001","atari_2600_family","VCS NTSC","identity_and_media","RT-001;RT-003","Atari 2600 NTSC profile and minimal bankswitch path","2K, 4K, and F8 cartridges load through the shared media-loading support."
"M3","Stress timing and beam systems","35","A26-002","atari_2600_family","VCS NTSC","cpu_and_io","A26-001;RT-002","6507 and RIOT baseline","CPU execution, RIOT timer behavior, and input-visible state run under the common time contract."
"M3","Stress timing and beam systems","36","A26-003","atari_2600_family","VCS NTSC","video_and_audio","A26-002;RT-004;RT-005","TIA beam, collisions, and audio","Beam-driven rendering, collision state, and audio emission all operate through shared sinks."
"M3","Stress timing and beam systems","37","A26-004","atari_2600_family","VCS NTSC","input_and_validation","A26-003;RT-006;RT-008","Controller set and validation","Joystick baseline input and one deterministic validation set run under the common harness."
"M4","Hybrid console","38","PCE-001","pc_engine_family","CoreGrafx","identity_and_media","RT-001;RT-003","CoreGrafx profile and HuCard media path","CoreGrafx is the pinned wave-1 profile and HuCards load through the shared media-loading support."
"M4","Hybrid console","39","PCE-002","pc_engine_family","CoreGrafx","cpu_and_bus","PCE-001;RT-002","HuC6280, memory map, timer, and IRQ baseline","CPU execution, timing, interrupts, and baseline bank mapping run correctly under the common time contract."
"M4","Hybrid console","40","PCE-003","pc_engine_family","CoreGrafx","video","PCE-002;RT-004","VDC/VCE video path","Visible output reaches the shared frame sink with timing-aware scanline behavior."
"M4","Hybrid console","41","PCE-004","pc_engine_family","CoreGrafx","audio_and_input","PCE-002;RT-005;RT-006","PSG and controller path","Audio packets and controller state run through shared support plumbing."
"M4","Hybrid console","42","PCE-005","pc_engine_family","CoreGrafx","validation","PCE-003;PCE-004;RT-008","Validation pass","A first regression set passes and all CD-related work remains explicitly deferred."
"M5","Hybrid computer capstone","43","AMI-001","amiga_ocs_ecs_family","Amiga 500 OCS PAL","identity_and_media","RT-001;RT-003","Amiga 500 OCS PAL profile, Kickstart, and floppy path","An Amiga 500 OCS PAL profile can boot with declared firmware and floppy media through the shared host support layer."
"M5","Hybrid computer capstone","44","AMI-002","amiga_ocs_ecs_family","Amiga 500 OCS PAL","cpu_and_bus","AMI-001;RT-002","68000, memory map, and interrupt foundation","CPU execution, exceptions, and baseline memory behavior operate under the shared time contract."
"M5","Hybrid computer capstone","45","AMI-003","amiga_ocs_ecs_family","Amiga 500 OCS PAL","scheduler_and_arbitration","AMI-002","DMA scheduler skeleton","The Amiga core has an explicit DMA or arbiter scheduling model rather than a CPU-centric bus loop."
"M5","Hybrid computer capstone","46","AMI-004","amiga_ocs_ecs_family","Amiga 500 OCS PAL","video","AMI-003;RT-004","Agnus and Denise video path with Copper and bitplanes","Visible display, Copper effects, and bitplane output reach the shared frame sink."
"M5","Hybrid computer capstone","47","AMI-005","amiga_ocs_ecs_family","Amiga 500 OCS PAL","audio_and_io","AMI-003;RT-005;RT-006","Paula audio, CIA, keyboard, and floppy timing","Audio output and baseline machine input and peripheral timing operate through shared sinks and adapters."
"M5","Hybrid computer capstone","48","AMI-006","amiga_ocs_ecs_family","Amiga 500 OCS PAL","custom_chips_and_validation","AMI-004;AMI-005;RT-008","Blitter and validation pass","One deterministic boot or demo validation set passes under the shared harness."
"M6","Wave 1 hardening","49","INT-001","integration","","host_integration","GB-005;S8-005;SP-005;NES-005","Shared tooling and startup conventions","Completed wave-1 binaries share startup conventions and can be driven by common tooling without a monolithic launcher."
"M6","Wave 1 hardening","50","INT-002","integration","","validation","RT-007;C64-005;A26-004;PCE-005;AMI-006","Snapshot and restore smoke tests across wave 1","Every completed wave-1 family has at least one automated save-state round-trip test."
"M6","Wave 1 hardening","51","INT-003","integration","","validation_and_tooling","RT-008;C64-005;A26-004;PCE-005;AMI-006","Trace and regression matrix","Each completed family participates in one shared regression matrix with artifacts produced in a uniform format."
