priority_band,pattern_id,title,category,commercial_readiness,anchor_families,initial_profiles,portable_assets,blessed_path_features,deepened_by,depends_on,notes
P1,PAT-STORAGE-FLOPPY-001,Floppy-first content layout and staged loading,storage,shipping,Amiga,"Amiga 500 OCS","source|build instructions|adf","disk activity trace|load checkpoints","Atari ST|AGA|CD-based systems","PAT-STORAGE-BOOT-001",Keeps disk-era content scale tied to practical packaging.
P2,PAT-RENDER-SPLIT-001,Split-screen and status-bar presentation,rendering,advanced,"NES|C64|Amiga","NES/Famicom|C64 PAL|Amiga 500 OCS","source|build instructions|runnable artifact","scanline view|IRQ breakpoints|Copper checkpoints","Atari 2600|SNES|Mega Drive","PAT-RENDER-RASTER-001|PAT-RENDER-COPPER-001",Shared presentation pattern with very different family implementations.
P2,PAT-AUDIO-DRIVER-001,Audio driver structure and SFX-music arbitration,audio,advanced,"Spectrum|NES|C64|Amiga","48K|NES/Famicom|C64 PAL|Amiga 500 OCS","source|build instructions|runnable artifact","channel mute|event trace|audio export","Game Boy|Mega Drive|SNES|Plus/4","PAT-AUDIO-BEEPER-001|PAT-AUDIO-APU-001|PAT-AUDIO-SID-001|PAT-AUDIO-SAMPLE-001",Cross-family audio pattern that pulls the family-specific patterns together.
P2,PAT-DATA-CONTENT-001,Data-driven rooms levels and content tables,data,advanced,"Spectrum|NES|C64|Amiga","48K|NES/Famicom|C64 PAL|Amiga 500 OCS","source|build instructions|runnable artifact","memory view|asset references|validation notes","MSX|Game Boy|PC Engine|Mega Drive","PAT-LOGIC-STATE-001",Bridges sample code to larger games.
P2,PAT-PERSIST-SAVE-001,High scores passwords and persistent progress,data,shipping,"Spectrum|NES|C64|Amiga","48K|NES/Famicom|C64 PAL|Amiga 500 OCS","source|build instructions|runnable artifact","storage trace|memory watch","Game Boy|SNES|Apple II","PAT-STORAGE-BOOT-001",Treats persistence as part of commercial expectations instead of late-stage polish.
P2,PAT-POLISH-ATTRACT-001,Attract mode demos and transition polish,polish,advanced,"NES|C64|Amiga|Spectrum","NES/Famicom|C64 PAL|Amiga 500 OCS|128K","source|build instructions|runnable artifact","state trace|capture presets","Mega Drive|SNES|Amiga ECS/AGA","PAT-POLISH-TITLE-001|PAT-LOGIC-STATE-001",Turns title-flow craft into visible commercial polish.
P2,PAT-PIPELINE-ASSET-001,Asset conversion and build pipeline,production,shipping,"Spectrum|NES|C64|Amiga","48K|NES/Famicom|C64 PAL|Amiga 500 OCS","source assets|build instructions|converted outputs","artifact manifest|validation hooks","MSX|PC Engine|Mega Drive|SNES|Spectrum Next","PAT-STORAGE-BOOT-001",Needed before the library can scale beyond hand-authored tiny examples.
P3,PAT-RENDER-BEAM-001,Beam-driven frame kernels,rendering,flagship,"Atari 2600","VCS","source|build instructions|rom","beam step|scanline trace|TIA state view","","PAT-RUNLOOP-FRAME-001|PAT-DEBUG-OBSERVE-001",A deepening pattern outside the initial four that should extend the rendering taxonomy rather than fork it.
P3,PAT-PORT-HANDHELD-001,Portable readability and short-session UX,polish,advanced,"Game Boy","DMG-01","source|build instructions|gb rom","tile view|audio channels|battery save view","Game Boy Color","PAT-RENDER-METASPR-001|PAT-PERSIST-SAVE-001",Handheld-specific deepening of console-era commercial expectations.
P3,PAT-COMPAT-SPECCY-001,Spectrum compatibility and clone-aware testing,production,advanced,"Spectrum clones|Spectrum Next","Pentagon|Scorpion|Next","source|build instructions|tap|snapshot","capability view|timing trace|profile compare","","PAT-RENDER-ATTR-001|PAT-DATA-BANK-001|PAT-DEBUG-OBSERVE-001",Ensures the Spectrum path scales into preservation instead of stopping at canonical 48K/128K.
