"wave","milestone_id","milestone_name","order","ticket_id","owner","target_scope","subsystem","depends_on","title","done_when"
"wave2","M11","Wave-2 hardening","24","W2-INT-002","integration","wave2 families","validation","W2-INT-001","Cross-family regression pass","Wave-2 families participate in one shared regression matrix with profile-aware artifacts."
"wave3","M12","8-bit computer cluster A","25","W3-A2-001","apple_ii_family","Apple IIe","family_baseline","W2-INT-002","Apple IIe baseline","Apple IIe boots, renders, accepts input, loads disk media, and participates in the shared validation harness."
"wave3","M12","8-bit computer cluster A","26","W3-A8-001","atari_400_800_family","800XL","family_baseline","W2-INT-002","Atari 800XL baseline","800XL with ANTIC, GTIA, and POKEY timing reaches the suite regression harness."
"wave3","M12","8-bit computer cluster A","27","W3-MSX-001","msx_family","MSX1","family_baseline","W2-INT-002","MSX1 baseline","MSX1 boots and runs with an explicit slot model, cartridge media path, and shared validation artifacts."
"wave3","M12","8-bit computer cluster A","28","W3-MSX-002","msx_family","MSX2","family_expansion","W3-MSX-001","MSX2 extension","MSX2 extends the MSX family without forcing a second incompatible architecture."
"wave3","M13","8-bit computer cluster B","29","W3-BBC-001","bbc_micro_family","BBC Model B","family_baseline","W2-INT-002","BBC Model B baseline","The BBC Micro family has a validated Model B baseline."
"wave3","M13","8-bit computer cluster B","30","W3-CPC-001","amstrad_cpc_family","CPC 6128","family_baseline","W2-INT-002","CPC 6128 baseline","The CPC family has a validated 6128 baseline with tape/floppy-capable media support."
"wave3","M13","8-bit computer cluster B","31","W3-COCO-001","coco_dragon_family","CoCo 2","family_baseline","W2-INT-002","CoCo 2 baseline","The Color Computer family has a validated CoCo 2 baseline."
"wave3","M13","8-bit computer cluster B","32","W3-COCO-002","coco_dragon_family","CoCo 3","family_expansion","W3-COCO-001","CoCo 3 extension","The CoCo 3 extends the family with explicit GIME-era deltas."
"wave3","M14","Console and vector cluster","33","W3-CV-001","colecovision_family","ColecoVision","family_baseline","W2-INT-002","ColecoVision baseline","The ColecoVision family reaches one validated baseline profile."
"wave3","M14","Console and vector cluster","34","W3-INTV-001","intellivision_family","Intellivision","family_baseline","W2-INT-002","Intellivision baseline","The Intellivision family reaches one validated baseline profile."
"wave3","M14","Console and vector cluster","35","W3-A78-001","atari_7800_family","Atari 7800","family_baseline","W2-INT-002","Atari 7800 baseline","The 7800 family reaches one validated baseline profile using the hybrid scheduler path."
"wave3","M14","Console and vector cluster","36","W3-VEC-001","vectrex_family","Vectrex","family_baseline","W2-INT-002","Vectrex baseline","The suite hosts one validated vector-display family without introducing a second beam execution path."
"wave3","M15","16-bit console cluster","37","W3-MD-001","megadrive_genesis_family","Genesis cart-only","family_baseline","W2-INT-002","Genesis cart-only baseline","The Genesis family reaches a validated cart-only baseline profile."
"wave3","M15","16-bit console cluster","38","W3-SNES-001","snes_family","SNES","family_baseline","W2-INT-002","SNES baseline","The SNES family reaches a validated baseline profile under the hybrid scheduler path."
"wave3","M15","16-bit console cluster","39","W3-NEO-001","neo_geo_family","Neo Geo AES/MVS","family_baseline","W2-INT-002","Neo Geo AES/MVS baseline","The Neo Geo family reaches a validated cart-only baseline profile."
"wave3","M16","16-bit computer cluster","40","W3-ST-001","atari_st_family","Atari ST","family_baseline","W2-INT-002","Atari ST baseline","The Atari ST family reaches a validated baseline profile with shared media, audio, and video plumbing."
"wave3","M17","Wave-3 hardening","41","W3-INT-001","integration","wave3 families","validation","W3-ST-001","Flagship regression matrix","Wave-3 families join one uniform regression matrix with comparable artifacts and acceptance criteria."
"wave3","M17","Wave-3 hardening","42","W3-INT-002","integration","wave3 families","host_integration","W3-INT-001","Shared media import path across flagship computers and consoles","The host media/import layer handles the wave-3 mix without per-family host-glue forks."
"wave4","M18","Advanced computer cluster A","43","W4-IIGS-001","apple_iigs_family","Apple IIgs","family_baseline","W3-INT-002","Apple IIgs baseline","The Apple IIgs family reaches one validated baseline profile."
"wave4","M18","Advanced computer cluster A","44","W4-ARC-001","acorn_archimedes_family","Archimedes","family_baseline","W3-INT-002","Archimedes baseline","The Archimedes family reaches one validated baseline profile."
"wave4","M18","Advanced computer cluster A","45","W4-RPC-001","acorn_risc_pc_family","Risc PC","family_expansion","W4-ARC-001","Risc PC extension","The Risc PC extends the Acorn ARM family without creating a separate execution-substrate track."
"wave4","M18","Advanced computer cluster A","46","W4-FAL-001","atari_falcon_family","Atari Falcon","family_baseline","W3-INT-002","Atari Falcon baseline","The Falcon reaches one validated baseline profile."
"wave4","M19","Advanced computer cluster B","47","W4-X68-001","x68000_family","X68000","family_baseline","W3-INT-002","X68000 baseline","The X68000 family reaches one validated baseline profile."
"wave4","M19","Advanced computer cluster B","48","W4-PC88-001","nec_pc8_pc88_pc98_family","PC-8801","family_baseline","W3-INT-002","PC-8801 baseline","The NEC PC-88/98 family reaches one practical baseline starting with PC-8801."
"wave4","M19","Advanced computer cluster B","49","W4-FMT-001","fujitsu_fm_towns_family","FM Towns / Marty","family_baseline","W3-INT-002","FM Towns and Marty baseline","The FM Towns family reaches one practical baseline profile."
"wave4","M20","Add-on and late-hybrid cluster","50","W4-AMI-AGA-001","amiga_aga_family","AGA and CD32","family_baseline","W2-AMI-002","Amiga AGA and CD32 baseline","The Amiga family reaches one validated AGA-era baseline and one console-style AGA profile."
"wave4","M20","Add-on and late-hybrid cluster","51","W4-MDCD-001","megadrive_genesis_family","Mega-CD / Sega CD","family_expansion","W3-MD-001;W2-RT-004","Mega-CD / Sega CD integration","The Genesis family supports one CD-based baseline path."
"wave4","M20","Add-on and late-hybrid cluster","52","W4-32X-001","megadrive_genesis_family","32X","family_expansion","W4-MDCD-001","32X integration","The Genesis family supports one 32X-era baseline path without spawning a second execution-substrate track."
"wave4","M20","Add-on and late-hybrid cluster","53","W4-NEOCD-001","neo_geo_family","Neo Geo CD","family_expansion","W3-NEO-001;W2-RT-004","Neo Geo CD integration","The Neo Geo family supports one CD-based baseline path."
"wave4","M20","Add-on and late-hybrid cluster","54","W4-VB-001","virtual_boy_family","Virtual Boy","family_baseline","W3-INT-002","Virtual Boy baseline","The Virtual Boy family reaches one validated baseline profile."
"wave4","M20","Add-on and late-hybrid cluster","55","W4-JAG-001","jaguar_family","Jaguar / Jaguar CD","family_baseline","W3-INT-002","Jaguar / Jaguar CD baseline","The Jaguar family reaches one practical baseline profile and a clear CD-era backlog."
"wave4","M21","Wave-4 hardening","56","W4-INT-001","integration","wave4 families","validation","W4-JAG-001","Advanced hybrid scheduler regression pass","Wave-4 families share one timing-focused regression pass across advanced hybrids and workstations."
"wave4","M21","Wave-4 hardening","57","W4-INT-002","integration","wave4 families","media","W4-INT-001","CD and add-on media hardening","The host layer supports the wave-4 CD/add-on matrix without ad-hoc per-family media handling."
"wave5","M22","D execution substrate","58","W5-RT-001","shared_support","D-runtime","scheduler","W4-INT-002","Block-execution and event-sync contract","The suite supports block execution plus timestamped synchronization points without replacing the non-D contract."
"wave5","M22","D execution substrate","59","W5-RT-002","shared_support","D-runtime","memory","W5-RT-001","MMU, cache, and TLB service layer","The shared support layer exposes the substrate needed by the first D families without forcing a universal CPU model."
"wave5","M22","D execution substrate","60","W5-RT-003","shared_support","D-runtime","video","W5-RT-001","GPU command-stream and frame-presentation contract","The shared D support can host command-buffer-style graphics pipelines under one host-facing video path."
"wave5","M22","D execution substrate","61","W5-RT-004","shared_support","D-runtime","validation","W5-RT-002;W5-RT-003","D-era validation harness","The validation harness can capture and compare the kinds of artifacts the first D systems need."
"wave5","M23","First D consoles","62","W5-3DO-001","3do_family","3DO","family_baseline","W5-RT-004","3DO baseline","The 3DO family reaches one validated baseline profile."
"wave5","M23","First D consoles","63","W5-PS1-001","playstation_family","PlayStation","family_baseline","W5-RT-004","PlayStation baseline","The PlayStation family reaches one validated baseline profile."
"wave5","M24","Second D consoles","64","W5-N64-001","nintendo64_family","Nintendo 64","family_baseline","W5-PS1-001","Nintendo 64 baseline","The Nintendo 64 family reaches one validated baseline profile."
"wave5","M24","Second D consoles","65","W5-DC-001","dreamcast_family","Dreamcast","family_baseline","W5-PS1-001","Dreamcast baseline","The Dreamcast family reaches one validated baseline profile."
"wave5","M25","Handheld D cluster","66","W5-DS-001","nintendo_ds_family","Nintendo DS","family_baseline","W5-N64-001","Nintendo DS baseline","The Nintendo DS family reaches one validated baseline profile."
"wave5","M25","Handheld D cluster","67","W5-PSP-001","psp_family","PSP","family_baseline","W5-DC-001","PSP baseline","The PSP family reaches one validated baseline profile."
"wave5","M26","Upper-bound D cluster","68","W5-GC-001","gamecube_family","GameCube","family_baseline","W5-PSP-001","GameCube baseline","The GameCube family reaches one validated baseline profile."
"wave5","M26","Upper-bound D cluster","69","W5-WII-001","wii_family","Wii","family_baseline","W5-GC-001","Wii baseline","The Wii family reaches one validated baseline profile."
"wave5","M27","Wave-5 hardening","70","W5-INT-001","integration","wave5 families","validation","W5-WII-001","D-era regression matrix and artifact capture","The D families share one regression matrix with comparable graphics and audio artifacts."
"wave5","M27","Wave-5 hardening","71","W5-INT-002","integration","wave5 families","state_and_policy","W5-INT-001","D-era save-state and determinism study","The suite has a documented determinism and save-state policy for the first D wave."
"wave6","M28","Catalog framework and triage","72","W6-RT-001","shared_support","catalog","planning","W5-INT-002","Catalog intake rules and promotion criteria","There is a documented policy for promoting a family from archive/intake into an implementation wave."
"wave6","M28","Catalog framework and triage","73","W6-RT-002","shared_support","catalog","tooling","W6-RT-001","Long-tail family shell and backlog tooling","The suite can record family metadata, reference media and firmware needs, and research status without pretending implementation has started."
"wave6","M29","Early-console and handheld oddities","74","W6-ODD-001","catalog_longtail","early_console_cluster","planning","W6-RT-002","Early-console cluster plan","The remaining early-console families are grouped by likely runtime fit and promotion priority."
"wave6","M29","Early-console and handheld oddities","75","W6-ODD-002","catalog_longtail","handheld_oddities_cluster","planning","W6-RT-002","Handheld oddities cluster plan","The remaining handheld, mobile, and educational families are grouped by likely runtime fit and promotion priority."
"wave6","M30","Long-tail microcomputers","76","W6-MICRO-001","catalog_longtail","6502_z80_micro_cluster","planning","W6-RT-002","6502/Z80 long-tail computer cluster plan","The remaining 6502/Z80-focused computer families are grouped into a coherent promotion backlog."
"wave6","M30","Long-tail microcomputers","77","W6-MICRO-002","catalog_longtail","advanced_micro_cluster","planning","W6-RT-002","Advanced long-tail computer cluster plan","The remaining advanced and region-specific computer families are grouped into a coherent promotion backlog."
"wave6","M31","Multimedia and edge consoles","78","W6-EDGE-001","catalog_edge","multimedia_console_cluster","planning","W6-RT-002","Multimedia oddities cluster plan","The multimedia-console families are grouped with explicit reasons for promotion or deferral."
"wave6","M31","Multimedia and edge consoles","79","W6-EDGE-002","catalog_edge","toy_and_edge_console_cluster","planning","W6-RT-002","Edge-console cluster plan","The educational, toy, and edge-console families are grouped with explicit reasons for promotion or deferral."
"wave6","M32","Boundary platforms","80","W6-BND-001","catalog_boundary","saturn_and_d_edge","research","W5-INT-002","Saturn and adjacent D-edge research","The suite has a documented position on saturn_family and adjacent edge-D platforms."
"wave6","M32","Boundary platforms","81","W6-BND-002","catalog_boundary","ps2_and_xbox","research","W5-INT-002","PS2 and original Xbox boundary research","The suite has a documented position on ps2_family and xbox_family."
"wave6","M32","Boundary platforms","82","W6-BND-003","catalog_boundary","ps3_and_xbox360","policy","W6-BND-002","PS3/Xbox 360 exclusion guardrail","The suite has an explicit exclusion policy and future re-entry criteria for ps3_family and xbox360_family."
"wave6","M33","Wave-6 archive hardening","83","W6-INT-001","integration","catalog","reporting","W6-BND-003","Catalog coverage dashboard and unmet-family report","The backlog can report what is implemented, what is planned, what is archived, and why."
"wave6","M33","Wave-6 archive hardening","84","W6-INT-002","integration","catalog","planning","W6-INT-001","Promotion pipeline from archive to implementation wave","One archived family can be promoted cleanly into an implementation wave without rewriting the planning structure."
