registry_id,technique_area,pattern_ids,claim_type,title,family,platform_or_profile,release_year,region,confidence,evidence_status,why_it_matters,notes
HEX-011,mapper-aware content growth,PAT-DATA-MAPPER-001,canonical_teaching_exemplar,The Legend of Zelda,NES,"NES/Famicom",1986,JP,likely,seeded,Good teaching exemplar for how extra hardware changes content ambition,Needs mapper-specific framing.
HEX-012,hardware sprite multiplexing and raster polish,"PAT-RENDER-HWSPR-001|PAT-RENDER-RASTER-001",canonical_teaching_exemplar,Uridium,C64,"C64 PAL",1986,EU,likely,seeded,Strong teaching anchor for sprite handling and action presentation,Needs broader review against other early raster-polish titles.
HEX-013,hardware sprite multiplexing and raster polish,"PAT-RENDER-HWSPR-001|PAT-RENDER-RASTER-001",follow_up_deepening_exemplar,Mayhem in Monsterland,C64,"C64 PAL",1993,EU,likely,seeded,Late flagship-style demonstration of how far the machine could be pushed,Useful as a flagship rather than an origin claim.
HEX-014,commercial presentation and audiovisual polish,"PAT-RENDER-RASTER-001|PAT-AUDIO-SID-001|PAT-POLISH-TITLE-001",canonical_teaching_exemplar,The Last Ninja,C64,"C64 PAL",1987,EU,likely,seeded,Good anchor for presentation polish across art audio and timed display work,Needs tighter breakdown by technique area.
HEX-015,SID identity and channel budgeting,PAT-AUDIO-SID-001,canonical_teaching_exemplar,International Karate,C64,"C64 PAL",1986,EU,hypothesis,seeded,Possible teaching anchor for music and SFX identity under strict channel limits,Could be displaced by better-known soundtrack-first exemplars.
HEX-016,Copper and Blitter display orchestration,"PAT-RENDER-COPPER-001|PAT-RENDER-BLITTER-001",breakthrough_popularization,Defender of the Crown,Amiga,"Amiga 1000/500 OCS",1986,US,likely,seeded,Strong early commercial showcase of Amiga-specific spectacle,Needs source-backed breakdown of which techniques are visible and novel.
HEX-017,Copper and Blitter display orchestration,"PAT-RENDER-COPPER-001|PAT-RENDER-BLITTER-001",canonical_teaching_exemplar,Shadow of the Beast,Amiga,"Amiga 500 OCS",1989,EU,well_supported,seeded,Excellent teaching anchor for display orchestration and staged spectacle,May be too polished for introductory pattern examples.
HEX-018,sample-driven audio identity,PAT-AUDIO-SAMPLE-001,canonical_teaching_exemplar,Lemmings,Amiga,"Amiga 500 OCS",1991,EU,likely,seeded,Good teaching anchor for memorable sample-driven presentation,Needs comparison with Turrican and Lotus depending on lesson focus.
HEX-019,tracker-era game audio,PAT-AUDIO-SAMPLE-001,follow_up_deepening_exemplar,Turrican,Amiga,"Amiga 500 OCS",1990,EU,likely,seeded,Useful audio exemplar for action pacing and identity,Could overlap too much with other Amiga music choices if not scoped carefully.
HEX-020,beam-driven display-time programming,PAT-RENDER-BEAM-001,canonical_teaching_exemplar,Combat,"Atari 2600",VCS,1977,US,likely,seeded,Strong early anchor for race-the-beam thinking,Not necessarily the best final teaching exemplar for later kernel sophistication.
HEX-021,beam-driven display-time programming,PAT-RENDER-BEAM-001,follow_up_deepening_exemplar,Pitfall!,"Atari 2600",VCS,1982,US,well_supported,seeded,Good teaching anchor for a mature beam-driven commercial action game,Useful as a deepening exemplar rather than a first-use claim.
HEX-022,artifact-color and mixed display strategy,"PAT-STORAGE-BOOT-001|PAT-PIPELINE-ASSET-001",canonical_teaching_exemplar,Prince of Persia,Apple II,"Apple II",1989,US,likely,seeded,Good teaching anchor for Apple II visual technique and disk-era production reality,Earlier artifact-color exemplars still need stronger research.
HEX-023,artifact-color and mixed display strategy,"PAT-STORAGE-BOOT-001|PAT-PIPELINE-ASSET-001",follow_up_deepening_exemplar,Ultima II,Apple II,"Apple II",1982,US,hypothesis,seeded,Plausible early anchor for mixed text and graphics strategy,Needs more precise technique framing.
HEX-024,battery-backed persistence,PAT-PERSIST-SAVE-001,follow_up_deepening_exemplar,The Final Fantasy Legend,"Game Boy",DMG-01,1989,JP,hypothesis,seeded,Useful handheld deepening candidate for persistence and portable session structure,Needs research against other early handheld save examples.
HEX-025,handheld readability and low-resolution polish,PAT-PORT-HANDHELD-001,canonical_teaching_exemplar,Super Mario Land,"Game Boy",DMG-01,1989,JP,likely,seeded,Clear early handheld teaching anchor,May need pairing with Link's Awakening for richer commercial expectations.
HEX-026,DMA and HDMA presentation polish,PAT-RENDER-SPLIT-001,follow_up_deepening_exemplar,Super Mario World,SNES,"Super Famicom",1990,JP,likely,seeded,Good entry point for layered 16-bit presentation polish,Needs more technique-specific differentiation from later SNES titles.
HEX-027,DMA and HDMA presentation polish,PAT-RENDER-SPLIT-001,canonical_teaching_exemplar,Super Castlevania IV,SNES,"Super Famicom",1991,JP,hypothesis,seeded,Possible stronger teaching anchor for visible presentation tricks than the launch-era baseline,Needs review.
HEX-028,Spectrum compatibility and enhanced-family teaching,PAT-COMPAT-SPECCY-001,follow_up_deepening_exemplar,Midnight Resistance,Pentagon,"Pentagon",1993,EE,hypothesis,seeded,Placeholder for clone-specific commercial practice,Needs real research and may be replaced entirely.
HEX-029,Spectrum compatibility and enhanced-family teaching,PAT-COMPAT-SPECCY-001,follow_up_deepening_exemplar,NextBuild demo projects,"Spectrum Next",Next,2020,Global,hypothesis,seeded,Placeholder to track how the enhanced family changes the teaching story,Not a final public-facing exemplar.
HEX-030,title flow and attract-mode polish,"PAT-POLISH-TITLE-001|PAT-POLISH-ATTRACT-001",canonical_teaching_exemplar,R-Type,Amiga,"Amiga 500 OCS",1989,EU,hypothesis,seeded,Potential cross-machine polish exemplar with visible presentation value,Needs comparison against NES and C64 candidates for more general teaching use.
