"system_id","decade","release_year","manufacturer","family","notable_members","bucket","scope","cpu_model","video_model","audio_model","media","notes"
"atari_400_800_family","1970s","1979","Atari","Atari 8-bit family","Atari 400, 800, XL, XE, XEGS","S","core","6502 / 6502C","ANTIC + GTIA display list video","POKEY","Cartridge, cassette, floppy","Display lists and bus sharing make slot/contention a better fit than a naive tick loop."
"exidy_sorcerer_family","1970s","1978","Exidy","Sorcerer family","Exidy Sorcerer","S","optional","Z80","Character video","Simple tone generator","Cartridge, cassette, floppy","A useful representative Z80 computer with modest but visible contention."
"ohio_scientific_challenger_family","1970s","1978","Ohio Scientific","Challenger family","C1P, C4P, C8P","S","optional","6502","Character video","Simple beeper","Cassette, floppy","Good example of early S-100-adjacent micro architecture."
"nascom_family","1970s","1978","Nascom","Nascom family","Nascom 1, Nascom 2","S","optional","Z80","Character video","Simple beeper","Cassette","Small but historically useful Z80 family."
"compukit_uk101_family","1970s","1979","Compukit","UK101 family","UK101 and close clones","S","optional","6502","Character video","Simple beeper","Cassette","Minimalist 6502 micro; useful as a low-cost computer target."
"kim1_sym1_aim65_family","1970s","1976","MOS Technology / Synertek / Rockwell","6502 trainer family","KIM-1, SYM-1, AIM-65","T","optional","6502","LED / simple terminal-oriented output","Simple beeper","Monitor ROM, cassette, serial","Not a mainstream home system, but a useful low-level bring-up target."
"microtan65_family","1970s","1979","Tangerine","Microtan 65 family","Microtan 65","S","optional","6502","Character video","Simple beeper","Cassette","Small family but fits the same explicit-timing discipline."
"odyssey2_videopac_family","1980s","1978","Magnavox / Philips","Odyssey2 / Videopac family","Odyssey2, Videopac G7000, Odyssey3, Videopac+ G7400","T","core","Intel 8048","Tile/sprite custom video","Simple tone channels","ROM cartridges","Simple enough for a tick-driven console, but keyboard and regional variants should stay configurable."
"intellivision_family","1980s","1979","Mattel","Intellivision family","Intellivision, Sears Super Video Arcade, Intellivision II","S","core","GI CP1600","STIC-based tile / sprite video","AY-3-8914","ROM cartridges","STIC timing and bus behavior are visible enough to justify an explicit contention model."
"atari_2600_family","1980s","1977","Atari","Atari 2600 / VCS family","VCS, 2600 Jr","B","core","6507","TIA race-the-beam video","TIA","ROM cartridges","Canonical beam-driven target; good stress test for the suite's lowest-level timing model."
"vectrex_family","1980s","1982","General Consumer Electronics / Milton Bradley","Vectrex family","Vectrex","B","core","6809","Vector beam display","AY-3-8912","ROM cartridges","Vector timing and analog beam behavior make it distinct from raster machines."
"creativision_family","1980s","1981","VTech / Dick Smith / others","CreatiVision family","CreatiVision, Dick Smith Wizzard, Funvision","S","optional","6502","Tile/sprite console video","SN76489-class PSG","ROM cartridges","Hybrid console/computer family with modest timing complexity."
"arcadia_2001_family","1980s","1982","Emerson and clone vendors","Arcadia 2001 family","Arcadia 2001, Palladium, Leisure Vision, Hanimex variants","T","optional","Signetics 2650","Simple custom video","Simple tone channels","ROM cartridges","Large clone family; one core with profiles is preferable."
"cassette_vision_family","1980s","1981","Epoch","Cassette Vision family","Cassette Vision","T","optional","NEC uPD777-class custom CPU","Dedicated console video","Simple tone channels","ROM cartridges","Small dedicated-console family with unusual CPU choices."
"super_cassette_vision_family","1980s","1984","Epoch","Super Cassette Vision family","Super Cassette Vision","T","optional","NEC uPD7801","Tile/sprite custom video","Simple PSG","ROM cartridges","A more conventional programmable console than the original Cassette Vision."
"colecovision_family","1980s","1982","Coleco","ColecoVision family","ColecoVision, ColecoVision Adam expansion","S","core","Z80","TMS9918A-class VDP","SN76489A","ROM cartridges","VDP timing and expansion hardware push it toward slot/contention rather than plain ticks."
"atari_5200_family","1980s","1982","Atari","Atari 5200 family","Atari 5200","S","optional","6502C","ANTIC + GTIA","POKEY","ROM cartridges","Close cousin to Atari 8-bit computers; reuse should happen at chip level."
"atari_7800_family","1980s","1986","Atari","Atari 7800 family","Atari 7800","H","core","6502C","MARIA DMA-driven video","TIA + POKEY variants","ROM cartridges","Video DMA is important enough to elevate it into the hybrid bucket."
"famicom_nes_family","1980s","1983","Nintendo","Famicom / NES family","Famicom, NES, AV Famicom, NES-101","S","core","2A03 / 6502 derivative","PPU tile/sprite video","APU pulse/triangle/noise/DMC","Cartridge","Strong fit for a contention-aware scheduler because CPU, PPU, APU, and mapper timing all matter."
"famicom_disk_system_family","1980s","1986","Nintendo","Famicom Disk System","FDS RAM Adapter, Disk System drive","S","advanced","2A03 / 6502 derivative","Famicom PPU + disk subsystem","APU + wavetable disk channel","Diskette","Best modeled as a subsystem layered on the Famicom core rather than a separate console."
"sega_8bit_family","1980s","1983","Sega","SG-1000 / SC-3000 / Mark III / Master System / Game Gear","SG-1000, SC-3000, Mark III, Master System, Game Gear","T","core","Z80","TMS9918A-derived or Sega VDP family","SN76489 PSG, optional FM","Cartridge, card","A straightforward family for tick-driven cores with board-profile differences."
"pc_engine_family","1980s","1987","NEC / Hudson","PC Engine / TurboGrafx-16 / SuperGrafx family","PC Engine, CoreGrafx, TurboGrafx-16, SuperGrafx, Duo","H","core","HuC6280","HuC6270 / HuC6260 video pipeline","Programmable PSG","HuCard, CD-ROM","Video and CD subsystems make this an early hybrid target."
"gameboy_family","1980s","1989","Nintendo","Game Boy family","Game Boy, Pocket, Light, Color","T","core","SM83","Tile/sprite LCD controller","APU with 4 channels","ROM cartridges","Good template for a simple but disciplined tick-driven handheld architecture."
"microvision_family","1980s","1979","Milton Bradley","Microvision family","Microvision","T","optional","Cartridge MCU family","Simple LCD segments / low-res LCD","Simple beeper","ROM cartridges","Per-cartridge CPUs make data modeling more important than a single monolithic core."
"epoch_game_pocket_computer","1980s","1984","Epoch","Game Pocket Computer","Game Pocket Computer","T","optional","Custom handheld MCU","Monochrome LCD tile graphics","Simple beeper","ROM cartridges","Small handheld family; useful as a lightweight tick target."
"megadrive_genesis_family","1980s","1988","Sega","Mega Drive / Genesis family","Mega Drive, Genesis, Mega-CD, Sega CD, 32X, Nomad","H","core","68000 + Z80","VDP with DMA and line-based effects","YM2612 + PSG","Cartridge, CD-ROM","Still hardware-led, but DMA, dual CPUs, and add-ons make a hybrid scheduler more realistic."
"zx80_zx81_jupiter_ace_family","1980s","1980","Sinclair / Jupiter Cantab","ZX80 / ZX81 / Jupiter Ace family","ZX80, ZX81, Jupiter Ace","S","optional","Z80","Character/video generation tied to CPU timing","Simple beeper","Cassette","The video hardware leans on CPU timing enough to make scheduling visible."
"spectrum_family","1980s","1982","Sinclair / Amstrad","Spectrum family","16K, 48K, 128K, +2, +2A, +3, Pentagon","S","core","Z80","ULA bitmap + attribute video","Beeper, AY variants","Cassette, floppy","A canonical contention machine; great fit for a slot-aware scheduler."
"commodore_vic20_family","1980s","1980","Commodore","VIC-20 family","VIC-20, VC-20","S","optional","6502","VIC-I character video","Simple tone channels","Cartridge, cassette, disk","Simple family, but video timing and cartridge space still matter."
"commodore_64_128_family","1980s","1982","Commodore","C64 / C128 family","C64, C64C, SX-64, C128, C128D","S","core","6510 / 8502 + Z80 on C128","VIC-II / VDC","SID","Cartridge, cassette, disk","Badlines, bus steals, and raster effects make this a flagship slot/contention target."
"commodore_plus4_c16_family","1980s","1984","Commodore","Plus/4 family","C16, Plus/4, C116","S","optional","7501 / 8501","TED video","TED audio","Cartridge, cassette, disk","Simpler than the C64, but still visibly video-timed."
"bbc_micro_family","1980s","1981","Acorn","BBC Micro / Master family","BBC Micro Model A/B/B+, Master 128","S","core","6502","6845-driven video with ULA","SN76489","Cassette, floppy, ROM","A good 8-bit computer family for contention-aware modeling."
"electron_family","1980s","1983","Acorn","Acorn Electron family","Electron","S","optional","6502","ULA video with severe CPU contention","Simple tone generator","Cassette, cartridge","Small machine, but bus stealing is central to correct behavior."
"amstrad_cpc_family","1980s","1984","Amstrad","CPC / Plus / GX4000 family","CPC 464, 664, 6128, CPC Plus, GX4000","S","core","Z80","CRTC + Gate Array video","AY-3-8912","Cassette, floppy, cartridge","The CRTC/Gate Array combination benefits from explicit slot timing."
"amstrad_pcw_family","1980s","1985","Amstrad","PCW family","PCW 8256, 8512, 9512","T","optional","Z80","Bitmap business display","Simple beeper","Floppy","A simpler sibling to the CPC line; tick-driven is usually enough."
"oric_family","1980s","1983","Tangerine / Oric","Oric family","Oric-1, Atmos, Telestrat","S","optional","6502","ULA-style text/bitmap video","AY-3-8912","Cassette, floppy","Not huge commercially, but a good mixed 6502 timing target."
"ti99_4a_family","1980s","1981","Texas Instruments","TI-99/4A family","TI-99/4A, close regional variants","S","optional","TMS9900","TMS9918A VDP","SN76489A","ROM cartridges, cassette, disk","Bus timing and 16-bit CPU / 8-bit environment make explicit scheduling useful."
"coco_dragon_family","1980s","1980","Tandy / Dragon Data","Color Computer / Dragon family","TRS-80 Color Computer 1/2/3, Dragon 32, Dragon 64","T","core","6809 / 6809E","MC6847 / GIME video","Simple DAC / PSG variants","Cartridge, cassette, disk","Often manageable with a tick-driven core unless targeting very exact later models."
"msx_family","1980s","1983","ASCII / Microsoft and many vendors","MSX family","MSX1, MSX2, MSX2+, turboR, SVI-728 class close cousins","S","core","Z80, later R800","TMS9918A / Yamaha VDP line","AY-3-8910 / PSG, later OPLL and more","Cartridge, cassette, floppy","Slots and vendor variation make this a strong candidate for a registry-driven family model."
"thomson_family","1980s","1982","Thomson","TO / MO family","TO7, TO8, TO9, MO5, MO6","S","optional","6809","Thomson custom video","Simple sound hardware","Cassette, floppy, cartridge","French micro family with interesting paging and video traits."
"enterprise_family","1980s","1985","Enterprise","Enterprise family","Enterprise 64, Enterprise 128","S","optional","Z80","Nick video chip","Dave audio chip","Cartridge, tape, disk","Custom chips make it a useful but niche family."
"sam_coupe_family","1980s","1989","Miles Gordon Technology","SAM Coupe family","SAM Coupe","S","optional","Z80B","Custom bitmap/video modes","SAA1099","Disk, cassette","Late Z80 machine with richer video behavior than many peers."
"tatung_einstein_family","1980s","1984","Tatung","Einstein family","Tatung Einstein","S","optional","Z80","6845-based video","AY-3-8910","Disk, cartridge, cassette","A compact Z80 family with ordinary but still visible timing requirements."
"camputers_lynx_family","1980s","1983","Camputers","Lynx family","Lynx 48K, 96K, 128K","S","optional","Z80","Character / bitmap video","Simple sound hardware","Cassette, disk","Small UK family worth keeping as an optional target."
"mattel_aquarius_family","1980s","1983","Mattel","Aquarius family","Aquarius, Aquarius II","T","optional","Z80","Simple character video","Simple beeper / PSG add-ons","Cartridge, cassette","A lightweight tick-driven Z80 micro."
"sord_m5_family","1980s","1982","Sord","M5 family","Sord M5","T","optional","Z80A","TMS9918A-class VDP","SN76489A","Cartridge, cassette","Compact and straightforward to emulate."
"tomy_tutor_family","1980s","1983","Tomy","Tomy Tutor / Pyuuta family","Tomy Tutor, Pyuuta","T","optional","TMS9995","TMS9918A-class VDP","SN76489A","Cartridge, cassette","Interesting 16-bit CPU + console-style VDP combination."
"coleco_adam_family","1980s","1983","Coleco","Adam family","Coleco Adam","S","optional","Z80","ColecoVision-derived VDP path","PSG","Tape, disk, cartridge","Reusing ColecoVision-level chips is sensible, but the computer shell adds complexity."
"nabu_family","1980s","1983","NABU","NABU family","NABU Personal Computer","S","optional","Z80","TMS9918A-class VDP","AY-3-8910","Network, cartridge-like software delivery","Network delivery and service dependencies are the main oddity."
"galaksija_family","1980s","1983","Voja Antonic","Galaksija family","Galaksija","T","optional","Z80A","Character video","Simple beeper","Cassette","A compact DIY-computer target."
"kc85_family","1980s","1984","Robotron","KC / Z1013 family","KC 85/2, KC 85/3, KC 85/4, KC 87, Z1013","S","optional","U880 / Z80-compatible","Custom video","Simple sound hardware","Cassette, cartridge, disk","Eastern Bloc family with useful modularity and paging examples."
"elektronika_bk_family","1980s","1985","Elektronika","BK family","BK-0010, BK-0011M","S","optional","PDP-11-compatible CPU","Bitmap video","Simple beeper","Cassette, disk","CPU architecture alone makes it a good optional target."
"sharp_mz_family","1980s","1980","Sharp","MZ family","MZ-80K, MZ-700, MZ-800, MZ-1500","T","optional","Z80","Character / bitmap video","Simple beeper / PSG variants","Cassette, disk","Model spread is wide enough that a profile system matters."
"sharp_x1_family","1980s","1982","Sharp","X1 family","X1, X1 Turbo, X1 Twin","H","advanced","Z80","CRTC + sprite / tile custom video","AY-3-8910, FM on later models","Cassette, disk","Late Z80 Japanese machine where video hardware matters enough to justify the hybrid bucket."
"nec_pc6001_family","1980s","1981","NEC","PC-6001 family","PC-6001, PC-6001mkII, PC-6601","S","optional","Z80","Text / bitmap mixed video","PSG","Cassette, cartridge, disk","Interesting but still manageable micro family."
"nec_pc8_pc88_pc98_family","1980s","1981","NEC","PC-8001 / PC-8801 / PC-9801 family","PC-8001, PC-8801, PC-9801","H","advanced","Z80, uPD780C, x86 family varies by model","PC-style video subsystems","PSG, FM, PCM families","Disk, cartridge, HDD","This family is broad enough that the registry should drive sub-family splits later."
"fujitsu_fm7_family","1980s","1982","Fujitsu","FM-7 family","FM-7, FM-77, FM-77AV","S","optional","6809 pair / variants","Custom bitmap video","PSG","Cassette, disk","Dual-CPU control patterns make it more interesting than a simple 6809 micro."
"fujitsu_fm_towns_family","1980s","1989","Fujitsu","FM Towns family","FM Towns, FM Towns Marty","H","advanced","386SX / 486 family","PC-like video with CD multimedia focus","PCM / CD audio","CD-ROM, floppy, HDD","At the edge of the suite's PC-like targets; a strong candidate for subsystem reuse, not one monolith."
"x68000_family","1980s","1987","Sharp","X68000 family","X68000, ACE, PRO, XVI, Compact","H","advanced","68000 family","Sprite/tile/scroller custom video","YM2151 + OKI + PSG","Floppy, HDD","Arcade-like video pipeline but still deterministic enough for a hybrid scheduler."
"amiga_ocs_ecs_family","1980s","1985","Commodore","Amiga OCS / ECS family","A1000, A500, A2000, A3000, CDTV","H","core","68000 / 68020","Custom chipset with bitplanes, Copper, Blitter, DMA arbitration","Paula","Floppy, HDD, CD-ROM","This is where a naive global tick loop gives way to DMA-slot thinking."
"atari_st_family","1980s","1985","Atari","Atari ST / STE / TT family","520ST, 1040ST, STE, Mega ST, TT","H","core","68000 / 68030","Shifter-based video","YM2149, DMA audio on STE","Floppy, HDD","A strong hybrid target with visible DMA and timing, but still much simpler than Amiga."
"apple_iigs_family","1980s","1986","Apple","Apple IIgs family","Apple IIgs","H","advanced","65C816","Apple II compatibility + GS video/audio","Ensoniq DOC","Disk, HDD, cartridge","Fits a hybrid model because the machine sits between Apple II and 16-bit multimedia design."
"acorn_archimedes_family","1980s","1987","Acorn","Archimedes family","A305, A310, A440, A5000","H","advanced","ARM2 / ARM3","MEMC/VIDC video path","IOC/VIDC audio","Floppy, HDD","Useful ARM-era target, but more PC-like and subsystem-rich than 8-bit micros."
"ibm_pc_dos_family","1980s","1981","IBM and compatibles","IBM PC / XT / AT / PCjr / Tandy 1000 family","IBM 5150, 5160, 5170, PCjr, Tandy 1000, close compatibles","H","advanced","8088 / 8086 / 80286 / 80386","MDA/CGA/EGA/VGA variants","PC speaker, AdLib, Sound Blaster families","Floppy, HDD","Huge platform surface area; the family belongs in the registry, but each era should probably split further."
"neo_geo_family","1990s","1990","SNK","Neo Geo AES / MVS / CD family","AES, MVS, Neo Geo CD","H","core","68000 + Z80","Sprite/tile video with large ROM streaming","YM2610","Cartridge, CD-ROM","Still deterministic and hardware-led, but too rich for a plain tick loop."
"snes_family","1990s","1990","Nintendo","SNES / Super Famicom family","SNES, Super Famicom, Satellaview","H","core","5A22 / 65C816 derivative","PPU pair with DMA/HDMA and many video modes","SPC700 + DSP","Cartridge","A quintessential hybrid machine: CPU timing matters, but DMA and PPU timing matter just as much."
"lynx_family","1990s","1989","Atari","Lynx family","Lynx, Lynx II","H","core","65SC02","Mikey/Suzy sprite hardware","Custom audio channels","ROM cartridges","Handheld, but custom DMA-like graphics make hybrid scheduling attractive."
"virtual_boy_family","1990s","1995","Nintendo","Virtual Boy family","Virtual Boy","H","optional","V810","Dual LED display scanning","Custom stereo sound","ROM cartridges","Display timing is unusual enough that it should not be treated like a conventional framebuffer console."
"jaguar_family","1990s","1993","Atari","Jaguar / Jaguar CD family","Jaguar, Jaguar CD","H","edge","68000 + Tom/Jerry","Object processor and blitter pipeline","Custom DSP audio","Cartridge, CD-ROM","Architecturally still hardware-led, but significantly more awkward than its marketing suggested."
"sega_pico_family","1990s","1993","Sega","Pico family","Pico","H","optional","68000","Mega Drive-derived video with stylus/page hardware","Simple PSG / FM-derived audio","Cartridge","Best handled as a Mega Drive sibling with different I/O."
"supervision_family","1990s","1992","Watara","Supervision family","Watara Supervision","T","optional","65C02-like","Monochrome LCD controller","Simple tone hardware","ROM cartridges","Simple handheld family; good fit for a plain tick model."
"mega_duck_family","1990s","1993","Welback","Mega Duck / Cougar Boy family","Mega Duck, Cougar Boy","T","optional","LR35902-like CPU","Monochrome LCD controller","Simple handheld audio","ROM cartridges","Interesting Game Boy-adjacent handheld with simpler ecosystem."
"gamate_family","1990s","1990","Bit Corporation","Gamate family","Gamate","T","optional","6502-like CPU","Monochrome LCD controller","Simple handheld audio","ROM cartridges","Useful low-end handheld target."
"game_master_family","1990s","1990","Hartung","Game Master family","Hartung Game Master","T","optional","65C02-like CPU","Monochrome LCD controller","Simple handheld audio","ROM cartridges","Niche handheld, but still a clean tick target."
"game_com_family","1990s","1997","Tiger","game.com family","game.com","H","edge","Sharp SM8521","Touch LCD with software scaling","Simple wavetable / digital audio","ROM cartridges","Interesting handheld, but ecosystem and hardware oddities make it lower priority."
"playdia_family","1990s","1994","Bandai","Playdia family","Playdia","H","edge","68000-class CPU","Simple multimedia console video","PCM / CD audio","CD-ROM","Mostly FMV / edutainment use-cases; low suite value relative to effort."
"casio_loopy_family","1990s","1995","Casio","Loopy family","Casio Loopy","H","optional","Hitachi SH-1","2D console graphics with printer support","PCM audio","ROM cartridges","Worth keeping as an unusual but still tractable 2D console."
"super_acan_family","1990s","1995","Funtech","Super A'Can family","Super A'Can","H","optional","68000","2D console graphics","PCM / PSG mix","ROM cartridges","Historically niche, but technically not far from other 16-bit-era hybrids."
"3do_family","1990s","1993","3DO Company and licensees","3DO family","Panasonic FZ-1, GoldStar, Sanyo TRY","D","advanced","ARM60","3D-capable graphics pipeline","DSP-based audio","CD-ROM","A clear step toward event-scheduled, dynarec-friendly architectures."
"cdi_family","1990s","1991","Philips","CD-i family","CD-i 220, 450, 470","H","edge","Motorola 68070","Multimedia video subsystem","PCM / CD audio","CD-ROM","Architecturally interesting, commercially narrow."
"laseractive_family","1990s","1993","Pioneer","LaserActive family","LaserActive PAC-S10, PAC-N10","H","edge","Module-dependent","LaserDisc video + console modules","Module-dependent audio","LaserDisc, cartridge","Best modeled as a shell hosting other systems rather than a normal standalone core."
"pcfx_family","1990s","1994","NEC","PC-FX family","PC-FX","D","edge","V810","Video-compositing and FMV-oriented subsystem","PCM / CD audio","CD-ROM","Awkward, niche, and late enough to justify an event-driven core."
"playstation_family","1990s","1994","Sony","PlayStation family","PS1, PSone","D","advanced","MIPS R3000A","Command-buffer 3D GPU","SPU","CD-ROM","This is the point where dynarec plus timestamped device sync becomes the practical default."
"saturn_family","1990s","1994","Sega","Saturn family","Saturn","D","edge","Dual SH-2 + many coprocessors","VDP1/VDP2 multi-processor video path","SCSP","CD-ROM","A famous complexity spike; it belongs in the registry mainly to fence it properly."
"nintendo64_family","1990s","1996","Nintendo","Nintendo 64 family","Nintendo 64, 64DD","D","advanced","MIPS R4300i + RSP","RDP / RSP 3D pipeline","AI / DAC via RCP","Cartridge, disk","Strong candidate for block-based CPU execution plus event-synchronized subsystems."
"apple_pippin_family","1990s","1996","Apple / Bandai","Apple Pippin family","Pippin @WORLD","D","edge","PowerPC 603","Mac-derived graphics subsystem","PCM / CD audio","CD-ROM","Platform value is lower than the engineering cost."
"amiga_aga_family","1990s","1992","Commodore","Amiga AGA / CD32 family","A1200, A4000, CD32","H","advanced","68020 / 68030","AGA custom chipset with DMA arbitration","Paula","Floppy, HDD, CD-ROM","Still squarely in the hybrid bucket; not a machine for a one-size-fits-all scheduler."
"atari_falcon_family","1990s","1992","Atari","Falcon family","Atari Falcon 030","H","advanced","68030 + DSP56001","Advanced ST-style video subsystem","DMA audio + DSP","Floppy, HDD","Strong candidate if the suite expands further into 68k computers."
"acorn_risc_pc_family","1990s","1994","Acorn","Risc PC family","Risc PC 600, 700","H","advanced","ARM610 / ARM710 / StrongARM","VIDC20 video","PCM audio","Floppy, HDD","Important ARM desktop family, but closer to workstation emulation than console emulation."
"fm_towns_marty_family","1990s","1993","Fujitsu","FM Towns Marty","FM Towns Marty","H","optional","386SX","PC-like multimedia video","PCM / CD audio","CD-ROM, floppy","Useful if FM Towns is in scope, otherwise easy to defer."
"wonderswan_family","1990s","1999","Bandai","WonderSwan family","WonderSwan, WonderSwan Color, SwanCrystal","T","core","V30MZ","Reflective LCD tile/sprite video","Simple handheld audio","ROM cartridges","A clean handheld family and a natural fit for a disciplined tick core."
"neo_geo_pocket_family","1990s","1998","SNK","Neo Geo Pocket family","Neo Geo Pocket, Neo Geo Pocket Color","T","core","TLCS-900H + Z80","Handheld tile/sprite video","PSG / simple PCM","ROM cartridges","Slightly richer than Game Boy-class hardware, but still friendly to tick-driven modeling."
"dreamcast_family","1990s","1998","Sega","Dreamcast family","Dreamcast","D","advanced","SH-4","PowerVR tile-based 3D GPU","AICA","GD-ROM","By this point the suite shifts from chip ticks to compiled CPU blocks and sync events."
"nuon_family","1990s","1999","VM Labs","Nuon family","Nuon DVD players","D","edge","Nuon media processors","Custom 3D / media pipeline","PCM / DVD audio path","DVD-ROM","Historically interesting, but very low priority."
"gba_family","2000s","2001","Nintendo","Game Boy Advance family","GBA, GBA SP, Game Boy Micro","H","core","ARM7TDMI","Tile/sprite + affine handheld video","DirectSound + legacy GB channels","ROM cartridges","Still deterministic and hardware-led, but more naturally expressed as a hybrid than a pure tick console."
"pokemon_mini_family","2000s","2001","Nintendo","Pokemon Mini family","Pokemon Mini","T","optional","Custom 8-bit MCU","Monochrome LCD controller","Simple handheld audio","ROM cartridges","A compact side target that should be easy to host in the suite."
"gameking_family","2000s","2004","TimeTop","GameKing family","GameKing, GameKing 2, GM-219","T","optional","Custom 8-bit MCU","Low-res monochrome LCD","Simple beeper","ROM cartridges","Obscure handheld family; good as an optional curiosity."
"gp32_family","2000s","2001","Game Park","GP32 family","GP32, BLU, BLU+","H","optional","ARM920T","2D LCD handheld video","PCM audio","SmartMedia","A useful bridge target between retro handhelds and later Linux handhelds."
"ngage_family","2000s","2003","Nokia","N-Gage family","N-Gage, N-Gage QD","H","edge","ARM9","Symbian-era handheld graphics","PCM audio","MMC, mobile software","The software stack matters almost as much as the hardware."
"tapwave_zodiac_family","2000s","2003","Tapwave","Zodiac family","Zodiac 1, Zodiac 2","D","edge","ARM9 / Motorola i.MX1","Palm OS handheld 2D/3D graphics","PCM audio","SD card, Palm OS software","A strong example of where platform emulation starts to matter."
"gizmondo_family","2000s","2005","Tiger Telematics","Gizmondo family","Gizmondo","D","edge","ARM9","Mobile 2D/3D graphics","PCM audio","Flash storage","Historically notable but low-value relative to effort."
"gp2x_family","2000s","2005","GamePark Holdings","GP2X / Wiz / Caanoo family","GP2X F100, F200, Wiz, Caanoo","H","optional","ARM920T / ARM926EJ-S","Framebuffer / SoC-driven graphics","PCM audio","SD card","Closer to embedded Linux handhelds than classic consoles, but still plausible."
"dingoo_family","2000s","2009","Dingoo","Dingoo family","A320, A330","H","optional","Ingenic MIPS SoC","Framebuffer / SoC-driven graphics","PCM audio","Internal flash, SD card","Useful only if Linux-era handhelds are deliberately in scope."
"nintendo_ds_family","2000s","2004","Nintendo","Nintendo DS family","DS, DS Lite, DSi","D","advanced","ARM946E-S + ARM7TDMI","Dual 2D engines plus 3D engine","PCM / PSG mix","ROM cartridges","Two CPUs and mixed 2D/3D hardware push it into event-scheduled territory."
"psp_family","2000s","2004","Sony","PlayStation Portable family","PSP-1000, 2000, 3000, Go","D","advanced","MIPS Allegrex","3D handheld GPU","Atrac-capable audio hardware","UMD, memory stick","A modern-ish handheld that belongs to the dynarec era."
"ps2_family","2000s","2000","Sony","PlayStation 2 family","PS2","D","edge","MIPS R5900 + VU cores","GS + vector-unit-driven graphics","SPU2","DVD-ROM","Released in scope, but architecturally expensive enough to treat as an edge target."
"gamecube_family","2000s","2001","Nintendo","GameCube family","GameCube","D","advanced","PowerPC Gekko","Flipper 3D GPU","DSP audio","Optical disc","A practical upper bound for a retro-focused suite."
"wii_family","2000s","2006","Nintendo","Wii family","Wii","D","advanced","PowerPC Broadway","Hollywood GPU","DSP audio","Optical disc","Still plausible in a suite, but now clearly in the advanced bucket."
